ID,TERM_NAME,LAST_NAME,FIRST_NAME,COLLEGE,MAJOR,FEE_RESIDENCE
PI0006,Fall 2018,Astin,Mandi,Science,"Biological Sciences, BS",Y
PI0006,Fall 2019,Astin,Mandi,Science,"Biological Sciences, BS",Y
PI0006,Fall 2020,Astin,Mandi,Science,"Biological Sciences, BS",Y
PI0006,Fall 2021,Astin,Mandi,Science,"Biological Sciences, BS",Y
PI0828,Fall 2020,Athelstan,Irene,Engineering,"Computer Science, BS",N
PI0828,Fall 2021,Athelstan,Irene,Engineering,"Computer Science, BS",N
PI1423,Fall 2020,Athersmith,Gustavus,Human Sciences & Education,"Kinesiology, BS",Y
PI1423,Fall 2021,Athersmith,Gustavus,Human Sciences & Education,"Kinesiology, BS",Y
PI1423,Fall 2022,Athersmith,Gustavus,Human Sciences & Education,"Kinesiology, BS",Y
PI1196,Fall 2019,Atterbury,Libbie,Business,"Marketing, BS",Y
PI1196,Fall 2020,Atterbury,Libbie,Business,"Marketing, BS",Y
PI1196,Fall 2021,Atterbury,Libbie,Business,"Marketing, BS",Y
PI1196,Fall 2022,Atterbury,Libbie,Business,"Marketing, BS",Y
PI1411,Fall 2018,Attewill,Denyse,Science,"Biological Sciences, BS",Y
PI0423,Fall 2021,Attewill,Myrtice,Agriculture,"Animal Sciences, BS",Y
PI0423,Fall 2022,Attewill,Myrtice,Agriculture,"Animal Sciences, BS",Y
PI0868,Fall 2022,Attride,Lanny,Mass Communication,"Mass Communication, BA in",Y
PI0334,Fall 2022,Atwater,Karyl,Agriculture,"Animal Sciences, BS",N
PI2719,Fall 2021,Augar,Kariotta,Mass Communication,"Mass Communication, BA in",Y
PI2719,Fall 2022,Augar,Kariotta,Mass Communication,"Mass Communication, BA in",Y
PI2307,Fall 2022,Augustin,Kelila,Human Sciences & Education,"Kinesiology, BS",N
PI1893,Fall 2018,Avrashin,Klarrisa,Science,"Biological Sciences, BS",N
PI1179,Fall 2018,Awde,Rhodie,Business,"Marketing, BS",N
PI1179,Fall 2019,Awde,Rhodie,Business,"Marketing, BS",N
PI1179,Fall 2020,Awde,Rhodie,Business,"Marketing, BS",N
PI0552,Fall 2022,Awin,Allegra,Science,"Biological Sciences, BS",Y
PI0474,Fall 2021,Axby,Lindy,Science,"Chemistry, BS",N
PI0474,Fall 2022,Axby,Lindy,Science,"Chemistry, BS",N
PI0725,Fall 2018,Axe,Pavia,Human Sciences & Education,"Kinesiology, BS",Y
PI0725,Fall 2019,Axe,Pavia,Human Sciences & Education,"Kinesiology, BS",Y
PI 0725,Fall 2020,Axe,Pavia,Human Sciences & Education,"Kinesiology, BS",Y
PI2806,Fall 2019,Aymer,Lacee,Science,"Biological Sciences, BS",Y
PI2806,Fall 2020,Aymer,Lacee,Science,"Biological Sciences, BS",Y
PI2806,Fall 2021,Aymer,Lacee,Science,"Biological Sciences, BS",Y
PI2806,Fall 2022,Aymer,Lacee,Science,"Biological Sciences, BS",Y
PI2241,Fall 2020,Ayrton,Errol,Engineering,"Computer Science, BS",Y
PI2241,Fall 2021,Ayrton,Errol,Engineering,"Computer Science, BS",Y
PI2241,Fall 2022,Ayrton,Errol,Engineering,"Computer Science, BS",Y
PI1596,Fall 2022,Ayrton,Sunshine,Human Sciences & Education,"Kinesiology, BS",Y
PI1608,Fall 2018,Backshaw,Sisile,Science,"Biological Sciences, BS",Y
PI1836,Fall 2022,Backson,Inger,Engineering,"Mechanical Engineering, BS in",Y
PI1746,Fall 2021,Bader,Beale,Human Sciences & Education,"Kinesiology, BS",Y
PI1746,Fall 2022,Bader,Beale,Human Sciences & Education,"Kinesiology, BS",Y
PI2290,Fall 2021,Badman,Laural,Business,"Marketing, BS",Y
PI2290,Fall 2022,Badman,Laural,Business,"Marketing, BS",Y
PI1346,Fall 2018,Baelde,Riannon,Human Sciences & Education,"Kinesiology, BS",Y
PI0642,Fall 2020,Bagehot,Louis,Science,"Biological Sciences, BS",Y
PI0642,Fall 2021,Bagehot,Louis,Science,"Biological Sciences, BS",Y
PI0642,Fall 2022,Bagehot,Louis,Science,"Biological Sciences, BS",Y
PI0208,Fall 2019,Baggelley,Ulrike,Engineering,"Mechanical Engineering, BS in",Y
PI0175,Fall 2020,Baile,Aristotle,Science,"Biological Sciences, BS",Y
PI0175,Fall 2021,Baile,Aristotle,Science,"Biological Sciences, BS",Y
PI-0175,Fall 2022,Baile,Aristotle,Science,"Biological Sciences, BS",Y
PI0597,Fall 2021,Bails,Sabine,Engineering,"Mechanical Engineering, BS in",Y
PI0597,Fall 2022,Bails,Sabine,Engineering,"Mechanical Engineering, BS in",Y
PI0958,Fall 2022,Baitman,Ignacius,Engineering,"Computer Science, BS",Y
PI1113,Fall 2020,Baldi,Rosy,Science,"Biological Sciences, BS",Y
PI1113,Fall 2021,Baldi,Rosy,Science,"Biological Sciences, BS",Y
PI1113,Fall 2022,Baldi,Rosy,Science,"Biological Sciences, BS",Y
PI1498,Fall 2020,Baldick,Ava,Mass Communication,"Mass Communication, BA in",Y
PI1498,Fall 2021,Baldick,Ava,Mass Communication,"Mass Communication, BA in",Y
PI1498,Fall 2022,Baldick,Ava,Mass Communication,"Mass Communication, BA in",Y
PI0754,Fall 2018,Ballach,Breanne,Business,"Marketing, BS",Y
PI0754,Fall 2019,Ballach,Breanne,Business,"Marketing, BS",Y
PI1528,Fall 2022,Balme,Adolph,Human Sciences & Education,"Kinesiology, BS",N
PI1075,Fall 2021,Balmforth,Glen,Human Sciences & Education,"Kinesiology, BS",Y
PI0151,Fall 2019,Bambrugh,Janaye,Mass Communication,"Mass Communication, BA in",Y
PI0151,Fall 2020,Bambrugh,Janaye,Mass Communication,"Mass Communication, BA in",Y
PI2898,Fall 2021,Bamling,Solomon,Engineering,"Mechanical Engineering, BS in",Y
PI2898,Fall 2022,Bamling,Solomon,Engineering,"Mechanical Engineering, BS in",Y
PI2812,Fall 2018,Bampford,Wilmer,Mass Communication,"Mass Communication, BA in",Y
PI2812,Fall 2019,Bampford,Wilmer,Mass Communication,"Mass Communication, BA in",Y
PI2812,Fall 2022,Bampford,Wilmer,Mass Communication,"Mass Communication, BA in",Y
PI0455,Fall 2022,Banaszewski,Jereme,Mass Communication,"Mass Communication, BA in",N
PI0118,Fall 2018,Band,Aldous,Business,"Marketing, BS",Y
PI0583,Fall 2019,Bann,Astra,Human Sciences & Education,"Kinesiology, BS",Y
PI0583,Fall 2020,Bann,Astra,Human Sciences & Education,"Kinesiology, BS",Y
PI0583,Fall 2021,Bann,Astra,Human Sciences & Education,"Kinesiology, BS",Y
PI0583,Fall 2022,Bann,Astra,Human Sciences & Education,"Kinesiology, BS",Y
PI1842,Fall 2019,Banthorpe,Micky,Mass Communication,"Mass Communication, BA in",Y
PI1842,Fall 2020,Banthorpe,Micky,Mass Communication,"Mass Communication, BA in",Y
PI1842,Fall 2021,Banthorpe,Micky,Mass Communication,"Mass Communication, BA in",Y
PI1842,Fall 2022,Banthorpe,Micky,Mass Communication,"Mass Communication, BA in",Y
PI1543,Fall 2019,Baraclough,Carlo,Mass Communication,"Mass Communication, BA in",Y
PI1543,Fall 2020,Baraclough,Carlo,Mass Communication,"Mass Communication, BA in",Y
PI1543,Fall 2021,Baraclough,Carlo,Mass Communication,"Mass Communication, BA in",Y
PI1543,Fall 2022,Baraclough,Carlo,Mass Communication,"Mass Communication, BA in",Y
PI1766,Fall 2018,Barby,Emogene,Agriculture,"Animal Sciences, BS",Y
PI2878,Fall 2022,Bareford,Celestyn,Engineering,"Mechanical Engineering, BS in",Y
PI0756,Fall 2021,Barnaclough,Barrett,Engineering,"Mechanical Engineering, BS in",Y
PI0756,Fall 2022,Barnaclough,Barrett,Engineering,"Mechanical Engineering, BS in",Y
PI2016,Fall 2018,Barnby,Caro,Human Sciences & Education,"Kinesiology, BS",Y
PI2850,Fall 2018,Barnwille,Prent,Humanities & Social Sciences,"English, BA",Y
PI2850,Fall 2019,Barnwille,Prent,Humanities & Social Sciences,"English, BA",Y
PI2850,Fall 2020,Barnwille,Prent,Humanities & Social Sciences,"English, BA",Y
PI1728,Fall 2018,Barringer,Lori,Mass Communication,"Mass Communication, BA in",Y
PI1728,Fall 2020,Barringer,Lori,Mass Communication,"Mass Communication, BA in",Y
PI1728,Fall 2021,Barringer,Lori,Mass Communication,"Mass Communication, BA in",Y
PI0505,Fall 2018,Barsam,Edeline,Human Sciences & Education,"Kinesiology, BS",Y
PI0896,Fall 2019,Bartles,Finlay,Science,"Chemistry, BS",N
PI0896,Fall 2020,Bartles,Finlay,Science,"Chemistry, BS",Y
PI0896,Fall 2021,Bartles,Finlay,Science,"Chemistry, BS",Y
PI0709,Fall 2019,Bartolijn,Odessa,Engineering,"Mechanical Engineering, BS in",N
PI2093,Fall 2022,Bartolomeotti,Tamara,Business,"Marketing, BS",Y
PI1859,Fall 2022,Bartoszewicz,Powell,Engineering,"Mechanical Engineering, BS in",N
PI2798,Fall 2021,Bartrop,Matty,Engineering,"Mechanical Engineering, BS in",Y
PI2798,Fall 2022,Bartrop,Matty,Engineering,"Mechanical Engineering, BS in",Y
PI2389,Fall 2022,Barts,Garrik,Mass Communication,"Mass Communication, BA in",Y
PI1505,Fall 2019,Barwack,Petronella,Engineering,"Computer Science, BS",Y
PI1505,Fall 2020,Barwack,Petronella,Engineering,"Computer Science, BS",Y
PI1499,Fall 2019,Basant,Gus,Engineering,"Mechanical Engineering, BS in",Y
PI1499,Fall 2020,Basant,Gus,Engineering,"Mechanical Engineering, BS in",Y
PI1499,Fall 2021,Basant,Gus,Engineering,"Mechanical Engineering, BS in",Y
PI0236,Fall 2018,Bascombe,Claus,Human Sciences & Education,"Kinesiology, BS",Y
PI0236,Fall 2019,Bascombe,Claus,Human Sciences & Education,"Kinesiology, BS",Y
PI0236,Fall 2020,Bascombe,Claus,Human Sciences & Education,"Kinesiology, BS",Y
PI2716,Fall 2018,Baseley,Leonardo,Mass Communication,"Mass Communication, BA in",Y
PI2764,Fall 2021,Baselio,Hermine,Science,"Biological Sciences, BS",N
PI2764,Fall 2022,Baselio,Hermine,Science,"Biological Sciences, BS",N
PI1724,Fall 2022,Basil,Vonny,Science,"Mathematics, BS",Y
PI2835,Fall 2018,Basilone,Orsa,Science,"Biological Sciences, BS",Y
PI0721,Fall 2020,Basnett,Vlad,Human Sciences & Education,"Kinesiology, BS",Y
PI0721,Fall 2021,Basnett,Vlad,Human Sciences & Education,"Kinesiology, BS",Y
PI1748,Fall 2021,Bastie,Diann,Human Sciences & Education,"Kinesiology, BS",Y
PI0968,Fall 2021,Batchelor,Jackqueline,Science,"Biological Sciences, BS",Y
PI0968,Fall 2022,Batchelor,Jackqueline,Science,"Biological Sciences, BS",Y
PI2029,Fall 2020,Batterham,Albina,Business,"Marketing, BS",Y
PI2029,Fall 2021,Batterham,Albina,Business,"Marketing, BS",Y
PI2029,Fall 2022,Batterham,Albina,Business,"Marketing, BS",Y
PI2912,Fall 2019,Batterson,Alexandro,Engineering,"Computer Science, BS",N
PI0517,Fall 2019,Battrick,Cindee,Human Sciences & Education,"Kinesiology, BS",Y
PI0517,Fall 2020,Battrick,Cindee,Human Sciences & Education,"Kinesiology, BS",Y
PI0517,Fall 2021,Battrick,Cindee,Human Sciences & Education,"Kinesiology, BS",Y
PI1347,Fall 2019,Baudin,Gilda,Engineering,"Mechanical Engineering, BS in",N
PI1347,Fall 2020,Baudin,Gilda,Engineering,"Mechanical Engineering, BS in",N
PI1347,Fall 2021,Baudin,Gilda,Engineering,"Mechanical Engineering, BS in",N
PI1482,Fall 2019,Baughan,Virge,Business,"Marketing, BS",Y
