ID,FINYEAR,LAST_NAME,FIRST_NAME,COLLEGE,MAJOR,FEE_RESIDENCE,AMT_TOTAL
PI0119,2019,Podmore,Jeremiah,Science,"Biological Sciences, BS",Y,7462.0
PI0122,2019,Pulfer,Adel,Agriculture,"Animal Sciences, BS",Y,12407.0
PI0124,2019,Yanin,Lyell,Human Sciences & Education,"Kinesiology, BS",Y,10971.0
PI0125,2019,Manginot,Kirsteni,Science,"Biological Sciences, BS",Y,16192.029999999999
PI0128,2019,Zukerman,Lucas,Science,"Biological Sciences, BS",N,21622.68
PI0131,2019,Falkinder,Trever,Engineering,"Computer Science, BS",Y,23336.0
PI0132,2019,McGeechan,Pammy,Science,"Biological Sciences, BS",Y,7862.0
PI0136,2019,MacFall,Witty,Engineering,"Computer Science, BS",Y,7422.0
PI0137,2019,Egginton,Kessia,Science,"Biological Sciences, BS",Y,1979.0
PI0141,2019,McUre,Cole,Mass Communication,"Mass Communication, BA",Y,8754.0
PI0143,2019,Heeran,Gladi,Engineering,"Computer Science, BS",Y,16184.0
PI0144,2019,Gittis,Ulrika,Science,"Biological Sciences, BS",Y,11733.41
PI0146,2019,Thomerson,Gwynne,Agriculture,"Animal Sciences, BS",Y,3869.0
PI0147,2019,Kigelman,Darcy,Business,"Marketing, BS",N,8025.0
PI0148,2019,Gilhoolie,Ginevra,Science,"Biological Sciences, BS",Y,8262.0
PI0153,2019,Mattocks,Mikel,Science,"Biological Sciences, BS",Y,7462.0
PI0155,2019,Shyram,Leontine,Engineering,"Computer Science, BS",Y,13339.0
PI0157,2019,Disdel,Godwin,Engineering,"Mechanical Engineering, BS",N,27702.0
PI0158,2019,Foskett,Perri,Agriculture,"Animal Sciences, BS",Y,7862.0
PI0160,2019,Lacheze,Ado,Engineering,"Mechanical Engineering, BS",Y,11940.0
PI0162,2019,Hartus,Trace,Science,"Biological Sciences, BS",Y,4131.0
PI0165,2019,Maffei,Wake,Science,"Biological Sciences, BS",Y,9842.0
PI0168,2019,Strathdee,Vally,Human Sciences & Education,"Kinesiology, BS",Y,15064.0
PI0169,2019,Rudall,Elianore,Engineering,"Computer Science, BS",Y,9842.0
PI0177,2019,Lusty,Karena,Engineering,"Computer Science, BS",Y,12167.9
PI0179,2019,Zannolli,Max,Agriculture,"Animal Sciences, BS",Y,19740.53
PI0181,2019,Sanham,Lillis,Human Sciences & Education,"Kinesiology, BS",Y,4145.0
PI0182,2019,McNee,Kip,Science,"Biological Sciences, BS",Y,13511.0
PI0183,2019,Puller,Benjie,Mass Communication,"Mass Communication, BA",Y,8356.0
PI0184,2019,Bauser,Bobinette,Humanities & Social Sciences,"English, BA",Y,13873.0
PI0186,2019,De Vile,Rhianna,Science,"Biological Sciences, BS",Y,7462.0
PI0189,2019,Yele,Sibby,Humanities & Social Sciences,"English, BA",N,25703.0
PI0190,2019,Dmitrichenko,Shamus,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0191,2019,Fieldgate,Marvin,Engineering,"Mechanical Engineering, BS",N,40070.0
PI0193,2019,Duley,Consuela,Agriculture,"Animal Sciences, BS",Y,3093.0
PI0198,2019,Osbiston,Lew,Agriculture,"Animal Sciences, BS",Y,13293.64
PI0201,2019,Dowson,Dugald,Mass Communication,"Mass Communication, BA",N,22000.0
PI0204,2019,Wistance,Emanuele,Human Sciences & Education,"Kinesiology, BS",Y,24926.0
PI0205,2019,Creegan,Justus,Humanities & Social Sciences,"English, BA",Y,7462.0
PI0206,2019,Phizaclea,Clare,Mass Communication,"Mass Communication, BA",Y,23306.0
PI0212,2019,Dowsing,Robbin,Humanities & Social Sciences,"English, BA",Y,23706.0
PI0214,2019,Selwin,Oralle,Business,"Marketing, BS",Y,19425.260000000002
PI0215,2019,Ambrodi,Aleece,Science,"Biological Sciences, BS",Y,20282.0
PI0218,2019,Simenon,Ozzy,Science,"Biological Sciences, BS",Y,7462.0
PI0223,2019,Shillaber,Grethel,Mass Communication,"Mass Communication, BA",Y,7422.0
PI0228,2019,Mccaull,Pandora,Human Sciences & Education,"Kinesiology, BS",Y,4131.0
PI0229,2019,Loiterton,Rozele,Engineering,"Computer Science, BS",Y,16118.0
PI0236,2019,Bascombe,Claus,Human Sciences & Education,"Kinesiology, BS",Y,1963.0
PI0237,2019,Kenwyn,Aveline,Mass Communication,"Mass Communication, BA",Y,6522.96
PI0238,2019,Goodrick,Alexia,Human Sciences & Education,"Kinesiology, BS",Y,8262.0
PI0239,2019,Berzen,Yolane,Human Sciences & Education,"Kinesiology, BS",N,2825.0
PI0240,2019,Womersley,Thorin,Science,"Biological Sciences, BS",Y,12287.0
PI0241,2019,Klaus,Glynda,Human Sciences & Education,"Kinesiology, BS",Y,8262.0
PI0243,2019,Gleave,Quentin,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0255,2019,Meldon,Casar,Science,"Biological Sciences, BS",N,6432.0
PI0257,2019,Ciobutaru,Aloise,Human Sciences & Education,"Kinesiology, BS",Y,9812.0
PI0260,2019,Coughtrey,Olag,Science,"Biological Sciences, BS",Y,8081.54
PI0261,2019,Prandi,Antonino,Business,"Marketing, BS",Y,13894.0
PI0262,2019,Gazey,Alano,Mass Communication,"Mass Communication, BA",Y,12480.869999999999
PI0263,2019,Gemeau,Yelena,Human Sciences & Education,"Kinesiology, BS",Y,15431.26
PI0266,2019,Dulling,Aymer,Engineering,"Computer Science, BS",Y,9812.0
PI0267,2019,O' Dooley,Wit,Business,"Marketing, BS",Y,10142.0
PI0274,2019,Cracker,Gearalt,Engineering,"Mechanical Engineering, BS",Y,9012.0
PI0275,2019,Loxston,Sullivan,Science,"Biological Sciences, BS",N,6439.12
PI0277,2019,Bellew,Molli,Science,"Biological Sciences, BS",Y,11121.75
PI0279,2019,Marlon,Lynsey,Science,"Biological Sciences, BS",Y,12299.53
PI0282,2019,Heister,Arnold,Business,"Marketing, BS",N,7639.0
PI0283,2019,Pedreschi,Correna,Science,"Biological Sciences, BS",N,40070.0
PI0284,2019,Gosling,Floria,Science,"Biological Sciences, BS",Y,8262.0
PI0285,2019,Chatin,Rosana,Science,"Biological Sciences, BS",Y,9262.0
PI0286,2019,Skydall,Mitzi,Science,"Biological Sciences, BS",Y,6538.0
PI0287,2019,Simeonov,Thorin,Science,"Chemistry, BS",Y,7862.0
PI0291,2019,McAvey,Ivette,Human Sciences & Education,"Kinesiology, BS",Y,8262.0
PI0300,2019,Ross,Lodovico,Science,"Mathematics, BS",Y,7462.0
PI0305,2019,Sine,Alicea,Mass Communication,"Mass Communication, BA",Y,4000.0
PI0306,2019,Erdely,Arturo,Human Sciences & Education,"Kinesiology, BS",Y,30000.0
PI0310,2019,Pach,Maud,Business,"Marketing, BS",N,56.0
PI0311,2019,Haslock(e),Alis,Human Sciences & Education,"Kinesiology, BS",Y,5937.0
PI0313,2019,Dmitrovic,Vaclav,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0316,2019,Lewsie,Codi,Science,"Biological Sciences, BS",Y,5673.0
PI0320,2019,Royle,Symon,Business,"Marketing, BS",Y,7862.0
PI0321,2019,De Pero,Marshall,Engineering,"Mechanical Engineering, BS",Y,6500.0
PI0322,2019,Gorini,Jareb,Engineering,"Mechanical Engineering, BS",Y,23414.0
PI0324,2019,Shoveller,Sheri,Engineering,"Mechanical Engineering, BS",Y,9148.630000000001
PI0325,2019,Saurat,Shaylah,Engineering,"Computer Science, BS",Y,20284.0
PI0326,2019,Wrankmore,Milzie,Humanities & Social Sciences,"English, BA",Y,23479.0
PI0327,2019,Warlton,Gaylor,Human Sciences & Education,"Kinesiology, BS",Y,32007.0
PI0328,2019,Arnot,Kilian,Science,"Biological Sciences, BS",Y,13315.02
PI0330,2019,Sammon,Dwain,Business,"Marketing, BS",N,3335.0
PI0331,2019,Paddeley,Dee,Science,"Biological Sciences, BS",Y,7862.0
PI0332,2019,Bolderstone,Ebonee,Engineering,"Computer Science, BS",Y,18609.66
PI0335,2019,Toop,Odey,Human Sciences & Education,"Kinesiology, BS",N,3525.0
PI0336,2019,Cowley,Benoit,Human Sciences & Education,"Kinesiology, BS",Y,13861.31
PI0343,2019,Quilkin,Chrysa,Engineering,"Computer Science, BS",Y,11605.0
PI0345,2019,Wettern,Lannie,Science,"Biological Sciences, BS",Y,8262.0
PI0347,2019,Cassels,Gibby,Mass Communication,"Mass Communication, BA",Y,9345.0
PI0348,2019,Gronou,Miguelita,Human Sciences & Education,"Kinesiology, BS",N,20282.0
PI0353,2019,St. John,Tracey,Engineering,"Computer Science, BS",N,13840.54
PI0360,2019,Frossell,Sallie,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0361,2019,Hearne,Martie,Science,"Biological Sciences, BS",Y,17087.0
PI0364,2019,Dowthwaite,Spence,Human Sciences & Education,"Kinesiology, BS",N,1980.0
PI0366,2019,Shevlane,Katleen,Human Sciences & Education,"Kinesiology, BS",Y,3381.0
PI0369,2019,Doust,Alwin,Agriculture,"Animal Sciences, BS",Y,8785.21
PI0370,2019,Lill,Cory,Mass Communication,"Mass Communication, BA",Y,26566.0
PI0372,2019,De Simone,Issie,Agriculture,"Animal Sciences, BS",Y,9095.720000000001
PI0377,2019,Angear,Giffard,Humanities & Social Sciences,"English, BA",Y,22610.0
PI0387,2019,Cathrae,Ralph,Engineering,"Mechanical Engineering, BS",Y,3160.0
PI0388,2019,Arpin,Cassi,Mass Communication,"Mass Communication, BA",N,31757.0
PI0389,2019,Cassely,Desmund,Engineering,"Mechanical Engineering, BS",Y,1980.0
PI0392,2019,Mager,Kendrick,Human Sciences & Education,"Kinesiology, BS",Y,9812.0
PI0393,2019,Gladtbach,Clareta,Science,"Biological Sciences, BS",Y,20282.0
PI0395,2019,Leathers,Abigale,Agriculture,"Animal Sciences, BS",Y,22836.0
PI0396,2019,Scain,Rhona,Human Sciences & Education,"Kinesiology, BS",Y,26674.37
PI0399,2019,MacKenzie,Veronike,Science,"Biological Sciences, BS",Y,7462.0
PI0401,2019,Marion,Abigail,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI0404,2019,Meredith,Nahum,Human Sciences & Education,"Kinesiology, BS",Y,7862.0
PI0408,2019,Schapero,Tarrance,Science,"Biological Sciences, BS",Y,10242.0
PI0409,2019,Clardge,Sabina,Science,"Biological Sciences, BS",Y,20282.0
PI0415,2019,Nesfield,Berne,Business,"Marketing, BS",Y,23852.0
PI0419,2019,Simants,Roy,Mass Communication,"Mass Communication, BA",Y,9442.0
PI0420,2019,Jewel,Horace,Business,"Marketing, BS",Y,6332.0
PI0421,2019,Percy,Enrichetta,Science,"Biological Sciences, BS",Y,8262.0
PI0424,2019,Montford,Rufe,Human Sciences & Education,"Kinesiology, BS",Y,24176.0
PI0425,2019,Pisco,Huey,Human Sciences & Education,"Kinesiology, BS",N,40070.0
PI0427,2019,Hollows,Teri,Business,"Marketing, BS",N,45398.79
PI0429,2019,Strongman,Ivette,Human Sciences & Education,"Kinesiology, BS",Y,7862.0
PI0432,2019,Stair,Cordy,Engineering,"Computer Science, BS",Y,9086.369999999999
PI0433,2019,Plevey,Mirabelle,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0442,2019,Claybourn,Piper,Human Sciences & Education,"Kinesiology, BS",Y,26003.56
PI0443,2019,Whitnell,Donny,Engineering,"Mechanical Engineering, BS",Y,8262.0
PI0445,2019,Pettifer,Casi,Mass Communication,"Mass Communication, BA",Y,6928.0
PI0446,2019,Drysdell,Lyn,Business,"Marketing, BS",Y,7462.0
PI0448,2019,Camelin,Silvie,Science,"Biological Sciences, BS",Y,8262.0
PI0449,2019,Ghirardi,Bennett,Science,"Biological Sciences, BS",Y,7462.0
PI0450,2019,Cheves,Gracie,Engineering,"Computer Science, BS",Y,9812.0
PI0452,2019,Drennan,Bertie,Science,"Biological Sciences, BS",Y,7462.0
PI0454,2019,Gullan,Elle,Science,"Chemistry, BS",N,5874.0
PI0457,2019,Phethean,Gavan,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0459,2019,Hutchens,Cecilla,Engineering,"Computer Science, BS",Y,20861.0
PI0470,2019,Hassur,Glynda,Engineering,"Mechanical Engineering, BS",Y,12727.189999999999
PI0473,2019,Kemery,Allina,Agriculture,"Animal Sciences, BS",Y,7462.0
PI0475,2019,Tubby,Karen,Human Sciences & Education,"Kinesiology, BS",Y,4931.0
PI0476,2019,Towell,Reider,Engineering,"Mechanical Engineering, BS",Y,10700.0
PI0480,2019,Fane,Tessi,Science,"Biological Sciences, BS",Y,1128.0
PI0482,2019,Kluss,Savina,Engineering,"Mechanical Engineering, BS",Y,33543.0
PI0486,2019,Hayhoe,Barclay,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0488,2019,Christian,Agneta,Mass Communication,"Mass Communication, BA",Y,13460.48
PI0491,2019,Durtnel,Fran,Science,"Biological Sciences, BS",Y,7862.0
PI0493,2019,Beningfield,Reinhard,Human Sciences & Education,"Kinesiology, BS",Y,13394.33
PI0494,2019,Jackalin,Felita,Science,"Biological Sciences, BS",Y,12007.0
PI0497,2019,Pfeffer,Brady,Humanities & Social Sciences,"English, BA",Y,8262.0
PI0500,2019,Coils,Dorey,Humanities & Social Sciences,"English, BA",Y,22602.0
PI0503,2019,Alekseev,Baldwin,Agriculture,"Animal Sciences, BS",Y,12724.19
PI0504,2019,Pitcock,Maxie,Engineering,"Mechanical Engineering, BS",Y,11087.0
PI0505,2019,Barsam,Edeline,Human Sciences & Education,"Kinesiology, BS",Y,7862.0
PI0513,2019,Fabri,Mathilda,Business,"Marketing, BS",Y,1980.0
PI0514,2019,Maxstead,Timofei,Engineering,"Mechanical Engineering, BS",Y,23665.0
PI0516,2019,Faichney,Ebenezer,Human Sciences & Education,"Kinesiology, BS",Y,3463.0
PI0520,2019,Lindenblatt,Pearline,Science,"Biological Sciences, BS",Y,33822.25
PI0523,2019,Hatch,Arabel,Science,"Biological Sciences, BS",N,1980.0
PI0525,2019,Delahunt,Lauretta,Mass Communication,"Mass Communication, BA",N,8486.44
PI0526,2019,Causton,Kerianne,Mass Communication,"Mass Communication, BA",Y,9546.0
PI0527,2019,Angrock,Karola,Mass Communication,"Mass Communication, BA",Y,8262.0
PI0528,2019,Libero,Ethe,Business,"Marketing, BS",Y,18874.0
PI0531,2019,Stearn,Milli,Mass Communication,"Mass Communication, BA",Y,7862.0
PI0532,2019,Leatherland,Ronalda,Engineering,"Computer Science, BS",Y,4131.0
PI0533,2019,Quested,Eben,Engineering,"Mechanical Engineering, BS",Y,15684.0
PI0536,2019,Wewell,Neilla,Engineering,"Mechanical Engineering, BS",Y,9468.0
PI0544,2019,Markham,Hedwiga,Business,"Marketing, BS",Y,7462.0
PI0545,2019,Spencelayh,Mycah,Mass Communication,"Mass Communication, BA",Y,7862.0
PI0547,2019,Alwin,Jeffie,Mass Communication,"Mass Communication, BA",N,9242.810000000001
PI0551,2019,Westby,Jenine,Agriculture,"Animal Sciences, BS",Y,7462.0
PI0553,2019,Folke,Nels,Mass Communication,"Mass Communication, BA",Y,5613.0
PI0554,2019,Heimann,Ania,Business,"Marketing, BS",Y,14164.0
PI0555,2019,Waddams,Orella,Human Sciences & Education,"Kinesiology, BS",Y,23665.0
PI0563,2019,Anthes,Thurstan,Engineering,"Computer Science, BS",Y,8262.0
PI0566,2019,Pre,Hermon,Mass Communication,"Mass Communication, BA",N,1980.0
PI0568,2019,Butt Gow,Marta,Business,"Marketing, BS",Y,27718.72
PI0576,2019,Lutsch,Taffy,Engineering,"Computer Science, BS",N,5315.0
PI0577,2019,D'Angeli,Hilly,Human Sciences & Education,"Kinesiology, BS",Y,8926.0
PI0579,2019,Kimblin,Berte,Mass Communication,"Mass Communication, BA",Y,990.0
PI0580,2019,Lusted,Teodor,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0581,2019,Foley,Charlton,Business,"Marketing, BS",Y,17621.14
PI0584,2019,Hubble,Michelle,Human Sciences & Education,"Kinesiology, BS",Y,15049.0
PI0589,2019,Maudlen,Timotheus,Human Sciences & Education,"Kinesiology, BS",Y,23665.0
PI0591,2019,Crum,Quinta,Human Sciences & Education,"Kinesiology, BS",Y,7288.17
PI0596,2019,Allmark,Georgetta,Science,"Biological Sciences, BS",Y,7462.0
PI0598,2019,Bayldon,Kimble,Science,"Biological Sciences, BS",Y,5935.0
PI0600,2019,Biswell,Cathe,Human Sciences & Education,"Kinesiology, BS",Y,23010.0
PI0601,2019,Cromack,Taylor,Business,"Marketing, BS",Y,8262.0
PI0602,2019,Retchless,Kennith,Science,"Chemistry, BS",Y,15980.0
PI0604,2019,Heaselgrave,Garey,Human Sciences & Education,"Kinesiology, BS",Y,16008.02
PI0605,2019,Sperwell,Edwina,Science,"Biological Sciences, BS",Y,40070.0
PI0609,2019,Capps,Shirl,Science,"Biological Sciences, BS",N,13489.57
PI0610,2019,Stallion,Jessamyn,Engineering,"Computer Science, BS",Y,23414.0
PI0614,2019,Blancowe,Bartholomeus,Human Sciences & Education,"Kinesiology, BS",N,9106.0
PI0615,2019,Dan,Charita,Engineering,"Computer Science, BS",Y,3711.0
PI0620,2019,Vanyarkin,Jannelle,Engineering,"Mechanical Engineering, BS",Y,8262.0
PI0621,2019,Dadson,Inna,Science,"Chemistry, BS",Y,3731.0
PI0622,2019,Stivey,Candy,Engineering,"Mechanical Engineering, BS",Y,28911.34
PI0623,2019,Whardley,Justine,Science,"Chemistry, BS",N,1980.0
PI0624,2019,Davana,Waylan,Agriculture,"Animal Sciences, BS",N,6725.0
PI0638,2019,Dabels,Marline,Agriculture,"Animal Sciences, BS",Y,13522.0
PI0641,2019,Wakeman,Cornall,Engineering,"Computer Science, BS",Y,20282.0
PI0643,2019,Hedingham,Evey,Science,"Biological Sciences, BS",Y,5393.0
PI0651,2019,Lodder,Reinold,Human Sciences & Education,"Kinesiology, BS",Y,9807.0
PI0652,2019,Fawdry,Freddi,Business,"Marketing, BS",Y,19041.07
PI0653,2019,Schwandermann,Elizabet,Mass Communication,"Mass Communication, BA",Y,15557.0
PI0654,2019,Broggetti,Theodor,Human Sciences & Education,"Kinesiology, BS",Y,9841.0
PI0655,2019,Spadoni,Ignatius,Mass Communication,"Mass Communication, BA",Y,14521.0
PI0658,2019,Edden,Kristin,Engineering,"Computer Science, BS",Y,8411.0
PI0659,2019,Crispin,Hillary,Science,"Biological Sciences, BS",Y,8262.0
PI0660,2019,Belli,Charil,Science,"Biological Sciences, BS",Y,13293.8
PI0662,2019,Whatmough,Towny,Engineering,"Mechanical Engineering, BS",Y,8262.0
PI0663,2019,Furber,Cleo,Humanities & Social Sciences,"English, BA",Y,10242.0
PI0665,2019,Chatenier,Freeman,Human Sciences & Education,"Kinesiology, BS",Y,23302.0
PI0670,2019,Secrett,Prudy,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0671,2019,Tracy,Xenos,Mass Communication,"Mass Communication, BA",Y,13786.2
PI0676,2019,Nassy,Terrel,Science,"Biological Sciences, BS",Y,8456.0
PI0677,2019,Bravery,Libby,Engineering,"Computer Science, BS",Y,14870.35
PI0678,2019,Doog,Clemmie,Science,"Biological Sciences, BS",Y,12904.0
PI0679,2019,Jickells,Ortensia,Science,"Biological Sciences, BS",Y,13067.86
PI0680,2019,Blethin,Payton,Engineering,"Mechanical Engineering, BS",N,5938.0
PI0681,2019,Elsley,Byrle,Mass Communication,"Mass Communication, BA",Y,23665.0
PI0682,2019,Krammer,Beverley,Agriculture,"Animal Sciences, BS",Y,3931.0
PI0683,2019,Bosson,Octavia,Science,"Biological Sciences, BS",Y,20284.0
PI0687,2019,Sturman,Delores,Mass Communication,"Mass Communication, BA",Y,6761.0
PI0688,2019,Sapsforde,Sheeree,Science,"Biological Sciences, BS",Y,3731.0
PI0696,2019,Ioannou,Merl,Human Sciences & Education,"Kinesiology, BS",Y,8304.0
PI0698,2019,Youdell,Shanta,Human Sciences & Education,"Kinesiology, BS",N,1980.0
PI0700,2019,Polamontayne,Allyce,Human Sciences & Education,"Kinesiology, BS",Y,7462.0
PI0701,2019,Tolson,Tann,Engineering,"Mechanical Engineering, BS",Y,1980.0
PI0703,2019,Haistwell,Drugi,Engineering,"Mechanical Engineering, BS",Y,8296.0
PI0706,2019,Crab,Celestina,Science,"Chemistry, BS",Y,8262.0
PI0707,2019,Friatt,Nestor,Business,"Marketing, BS",Y,20926.0
PI0710,2019,Raiman,Wayne,Human Sciences & Education,"Kinesiology, BS",Y,24507.0
PI0712,2019,Rodolfi,Kore,Science,"Biological Sciences, BS",Y,3931.0
PI0713,2019,Engley,Charlene,Human Sciences & Education,"Kinesiology, BS",Y,20282.0
PI0716,2019,Cobbe,Dallas,Agriculture,"Animal Sciences, BS",Y,9180.0
PI0717,2019,Shill,Ewell,Science,"Chemistry, BS",Y,13497.29
PI0718,2019,Ailmer,Blakeley,Engineering,"Computer Science, BS",N,13033.0
PI0725,2019,Axe,Pavia,Human Sciences & Education,"Kinesiology, BS",Y,11207.0
PI0729,2019,Parkeson,Danyette,Science,"Biological Sciences, BS",Y,6538.0
PI0735,2019,Cadany,Laurette,Human Sciences & Education,"Kinesiology, BS",Y,13094.45
PI0738,2019,Ivanaev,Cobb,Business,"Marketing, BS",Y,49703.0
PI0739,2019,Cohrs,Murielle,Engineering,"Computer Science, BS",Y,11930.0
PI0743,2019,Postan,Monro,Human Sciences & Education,"Kinesiology, BS",Y,15496.76
PI0744,2019,Dan,Anson,Science,"Biological Sciences, BS",Y,7850.0
PI0745,2019,Matthiae,Jordan,Human Sciences & Education,"Kinesiology, BS",N,8077.0
PI0746,2019,Hitter,Lothario,Human Sciences & Education,"Kinesiology, BS",Y,1980.0
PI0750,2019,Seven,Lamont,Agriculture,"Animal Sciences, BS",Y,1921.0
PI0754,2019,Ballach,Breanne,Business,"Marketing, BS",Y,11471.0
PI0755,2019,Elvey,Standford,Human Sciences & Education,"Kinesiology, BS",Y,22376.0
PI0760,2019,McQuie,Wolfy,Science,"Biological Sciences, BS",N,8178.0
PI0763,2019,Rennolds,Nananne,Human Sciences & Education,"Kinesiology, BS",Y,3013.0
PI0764,2019,Silcock,Goddard,Mass Communication,"Mass Communication, BA",Y,3195.0
PI0766,2019,Dalliwatr,Nels,Human Sciences & Education,"Kinesiology, BS",Y,6581.6
PI0770,2019,Kofax,Joya,Engineering,"Mechanical Engineering, BS",N,6663.85
PI0771,2019,Peoples,Goldie,Science,"Chemistry, BS",Y,3381.0
PI0775,2019,Di Biagio,Domeniga,Mass Communication,"Mass Communication, BA",Y,7462.0
PI0778,2019,Mation,Stu,Science,"Biological Sciences, BS",Y,9262.0
PI0779,2019,Van Der Walt,Edward,Business,"Marketing, BS",Y,3711.0
PI0780,2019,Gore,Maddie,Science,"Biological Sciences, BS",N,4444.0
PI0783,2019,Cauldfield,Mahalia,Science,"Biological Sciences, BS",Y,8779.1
PI0791,2019,Cordingley,Jeannine,Business,"Marketing, BS",N,847.0
PI0792,2019,Micallef,Egor,Human Sciences & Education,"Kinesiology, BS",Y,9812.0
PI0793,2019,Rothermel,Lucho,Engineering,"Computer Science, BS",Y,7462.0
PI0797,2019,Roffey,Erena,Business,"Marketing, BS",Y,12538.0
PI0798,2019,Lethieulier,Darlene,Engineering,"Mechanical Engineering, BS",N,25196.5
PI0800,2019,Thomen,Cosmo,Human Sciences & Education,"Kinesiology, BS",Y,7862.0
PI0805,2019,Saffill,Lindi,Engineering,"Mechanical Engineering, BS",Y,8400.0
PI0806,2019,Baum,Blondelle,Engineering,"Computer Science, BS",Y,14089.0
PI0809,2019,Nerne,Leticia,Science,"Biological Sciences, BS",Y,34148.7
PI0810,2019,Vasechkin,Brita,Engineering,"Computer Science, BS",Y,12966.369999999999
PI0815,2019,Melville,Hortense,Mass Communication,"Mass Communication, BA",Y,14387.0
PI0817,2019,Overell,Cal,Agriculture,"Animal Sciences, BS",Y,8262.0
PI0818,2019,Mulvenna,Kamila,Engineering,"Computer Science, BS",Y,18236.0
PI0819,2019,Hasser,Anna-maria,Engineering,"Computer Science, BS",Y,10202.0
PI0820,2019,Thorius,Corabella,Engineering,"Mechanical Engineering, BS",Y,7462.0
PI0822,2019,Santorini,Josiah,Business,"Marketing, BS",Y,9442.0
